[14:02:23] [ServerMain/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[14:02:25] [ServerMain/INFO]: Loaded 1370 recipes
[14:02:25] [ServerMain/INFO]: Loaded 1481 advancements
[14:02:25] [Server thread/INFO]: Starting minecraft server version 1.21.4
[14:02:25] [Server thread/INFO]: Loading properties
[14:02:25] [Server thread/INFO]: Default game type: SURVIVAL
[14:02:25] [Server thread/INFO]: Generating keypair
[14:02:25] [Server thread/INFO]: Starting Minecraft server on *:25565
[14:02:25] [Server thread/INFO]: Using default channel type
[14:02:25] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[14:02:25] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[14:02:25] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[14:02:25] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[14:02:25] [Server thread/INFO]: Preparing level "world"
[14:02:25] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[14:02:26] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:02:26] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:02:26] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:02:26] [Server thread/INFO]: Time elapsed: 1248 ms
[14:02:26] [Server thread/INFO]: Done (1.501s)! For help, type "help"
[14:02:34] [Server thread/INFO]: dipu[/127.105.13.186:53544] logged in with entity id 78 at (140.5, 143.0, 20.5)
[14:02:34] [Server thread/INFO]: dipu joined the game
[14:02:47] [Server thread/INFO]: [dipu: Teleported dipu to -969.500000, 196.000000, 690.500000]
[14:02:49] [Server thread/INFO]: [dipu: Set own game mode to Creative Mode]
[14:02:51] [Server thread/INFO]: [dipu: Teleported dipu to -969.500000, 196.000000, 690.500000]
[14:03:01] [Server thread/INFO]: [dipu: Gave 1 [Block of Iron] to dipu]
[14:03:13] [Server thread/INFO]: [dipu: Gave 1 [Pale Oak Planks] to dipu]
[14:04:19] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:25] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:31] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:32] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:32] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:32] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:33] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:43] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:04:56] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:05:03] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:05:09] [Server thread/INFO]: [dipu: Summoned new Creeper]
[14:11:54] [Server thread/INFO]: [dipu: Gave 1 [Command Block] to dipu]
[14:12:47] [Server thread/INFO]: [dipu: Gamerule doFireTick is now set to: false]
[14:12:55] [Server thread/INFO]: [dipu: Gave 1 [Flint and Steel] to dipu]
[14:13:51] [Server thread/INFO]: [dipu: Set the time to 1000]
[14:19:09] [Server thread/INFO]: [Not Secure] <dipu> -965 200 684
[14:23:01] [Server thread/INFO]: [dipu: Set the time to 1000]
[14:23:39] [Server thread/INFO]: MSGxHOAXEN[/127.26.245.251:53714] logged in with entity id 22993 at (-993.1735081743275, 208.62679538902802, 655.1272469250414)
[14:23:39] [Server thread/INFO]: MSGxHOAXEN joined the game
[14:25:47] [Server thread/INFO]: [dipu: Teleported dipu to MSGxHOAXEN]
[14:28:18] [Server thread/INFO]: [dipu: Teleported dipu to MSGxHOAXEN]
[14:31:06] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:32:22] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:32:46] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:33:08] [Server thread/INFO]: [dipu: Teleported MSGxHOAXEN to dipu]
[14:34:15] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:34:34] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:34:38] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:35:42] [Server thread/INFO]: [dipu: Set own game mode to Survival Mode]
[14:36:31] [Server thread/INFO]: [dipu: Set own game mode to Creative Mode]
[14:36:50] [Server thread/INFO]: [dipu: Teleported dipu to MSGxHOAXEN]
[14:38:23] [Server thread/INFO]: [dipu: Set the weather to rain & thunder]
[14:38:28] [Server thread/INFO]: [dipu: Set the weather to rain & thunder]
[14:38:34] [Server thread/INFO]: [dipu: Set the weather to rain & thunder]
[14:38:38] [Server thread/INFO]: [dipu: Set the weather to rain & thunder]
[14:38:48] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:39:04] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:40:04] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:41:33] [Server thread/INFO]: [MSGxHOAXEN: Set the weather to rain & thunder]
[14:41:49] [Server thread/INFO]: [dipu: Summoned new Skeleton]
[14:41:54] [Server thread/INFO]: [dipu: Set own game mode to Survival Mode]
[14:42:01] [Server thread/INFO]: [dipu: Set own game mode to Creative Mode]
[14:44:13] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:14] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:15] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:16] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:16] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:17] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:18] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:18] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:19] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:20] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:20] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:21] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:22] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:23] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:23] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:24] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:25] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:25] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:26] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:27] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:27] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:28] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:29] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:30] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:30] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:31] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:32] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:32] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:33] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:34] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:34] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:35] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:36] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:37] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:37] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:38] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:39] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:39] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:40] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:41] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:41] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:42] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:43] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:44] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:44] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:45] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:46] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:46] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:47] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:48] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:48] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:49] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:50] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:51] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:51] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:52] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:53] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:53] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:54] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:55] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:55] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:56] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:56] [Server thread/INFO]: [dipu: Summoned new Ravager]
[14:44:57] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:58] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:58] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:44:59] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:00] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:00] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:01] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:02] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:02] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:03] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:04] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:05] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:05] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:06] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:07] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:07] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:08] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:09] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:09] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:10] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:11] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:12] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:12] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:13] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:14] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:14] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:15] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:16] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:16] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:17] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:18] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:19] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:19] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:20] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:21] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:21] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:22] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:23] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:23] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:24] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:25] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:26] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:26] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:27] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:28] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:28] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:29] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:30] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:30] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:31] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:32] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:33] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:33] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:34] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:35] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:45:35] [Server thread/ERROR]: POI data mismatch: never registered at ji{x=-966, y=200, z=690}
[14:47:22] [Server thread/INFO]: [dipu: Summoned new Skeleton]
[14:47:26] [Server thread/INFO]: [dipu: Set own game mode to Survival Mode]
[14:47:28] [Server thread/INFO]: [dipu: Set own game mode to Creative Mode]
[14:48:07] [Server thread/INFO]: [dipu: Summoned new Skeleton]
[14:48:09] [Server thread/INFO]: [dipu: Set own game mode to Adventure Mode]
[14:48:14] [Server thread/INFO]: dipu was shot by Skeleton
[14:48:23] [Server thread/INFO]: [dipu: Set own game mode to Creative Mode]
[14:53:38] [Server thread/INFO]: [MSGxHOAXEN: Set the time to 13000]
[14:54:47] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:55:39] [Server thread/INFO]: [dipu: Set the time to 18000]
[14:56:28] [Server thread/INFO]: [dipu: Teleported dipu to MSGxHOAXEN]
[14:56:29] [Server thread/INFO]: [MSGxHOAXEN: Teleported MSGxHOAXEN to dipu]
[14:56:37] [Server thread/INFO]: [dipu: Set own game mode to Spectator Mode]
[14:56:45] [Server thread/INFO]: [dipu: Set own game mode to Creative Mode]
[14:56:47] [Server thread/INFO]: [MSGxHOAXEN: Teleported MSGxHOAXEN to dipu]
[14:59:10] [Server thread/INFO]: MSGxHOAXEN lost connection: Disconnected
[14:59:10] [Server thread/INFO]: MSGxHOAXEN left the game
[15:00:56] [Server thread/INFO]: [Not Secure] <dipu> -931 197 691
[15:02:48] [Server thread/INFO]: [dipu: Teleported Ashwathhama to dipu]
[15:03:11] [Server thread/INFO]: [dipu: Teleported Ashwathhama to dipu]
[15:03:51] [Server thread/INFO]: [dipu: Teleported Ashwathhama to dipu]
[15:04:52] [Server thread/INFO]: [dipu: Teleported Ashwathhama to dipu]
[15:06:12] [Server thread/INFO]: [dipu: Teleported Ashwathhama to dipu]
[15:07:13] [Server thread/INFO]: [dipu: Set own game mode to Spectator Mode]
[15:07:14] [Server thread/INFO]: [dipu: Set own game mode to Creative Mode]
[15:07:15] [Server thread/INFO]: [dipu: Set own game mode to Survival Mode]
[15:07:44] [Server thread/INFO]: [dipu: Summoned new Horse]
[15:08:12] [Server thread/INFO]: [dipu: Set own game mode to Creative Mode]
[15:09:02] [Server thread/INFO]: [dipu: Teleported Ashwathhama to dipu]
[15:09:03] [Server thread/INFO]: [dipu: Teleported Ashwathhama to dipu]
[15:10:12] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:10:56] [Server thread/INFO]: [dipu: Set own game mode to Survival Mode]
[15:10:57] [Server thread/INFO]: [dipu: Set own game mode to Creative Mode]
[15:11:28] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:11:38] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:11:49] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:11:49] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:11:50] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:11:50] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:11:50] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:11:51] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:11:51] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:11:51] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:12:36] [Server thread/INFO]: [dipu: Set own game mode to Survival Mode]
[15:12:47] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:12:47] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:12:47] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:12:48] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:12:48] [Server thread/INFO]: [dipu: Summoned new Giant]
[15:13:06] [Server thread/INFO]: [dipu: Set own game mode to Creative Mode]
[15:13:44] [Server thread/INFO]: MSGxHOAXEN[/127.26.245.251:54059] logged in with entity id 56558 at (-944.9590832742587, 214.6718666261984, 650.0128098451737)
[15:13:44] [Server thread/INFO]: MSGxHOAXEN joined the game
[15:13:55] [Server thread/INFO]: [MSGxHOAXEN: Teleported MSGxHOAXEN to dipu]
[15:17:50] [Server thread/INFO]: dipu lost connection: Disconnected
[15:17:50] [Server thread/INFO]: dipu left the game
[15:18:42] [Server thread/INFO]: dipu2004[/127.105.13.186:54137] logged in with entity id 57333 at (153.5, 141.0, 31.5)
[15:18:42] [Server thread/INFO]: dipu2004 joined the game
[15:18:59] [Server thread/INFO]: Made dipu2004 a server operator
[15:19:04] [Server thread/INFO]: [dipu2004: Teleported dipu2004 to MSGxHOAXEN]
[15:19:08] [Server thread/INFO]: [dipu2004: Set own game mode to Creative Mode]
[15:22:07] [Server thread/INFO]: [dipu2004: Gave 1 [Command Block] to dipu2004]
[15:22:25] [Server thread/INFO]: [dipu2004: Gave 1 [Lever] to dipu2004]
[15:27:28] [Server thread/INFO]: [dipu2004: Gave 1 [Bow] to dipu2004]
[15:27:42] [Server thread/INFO]: [dipu2004: Summoned new Warden]
[15:27:44] [Server thread/INFO]: dipu2004 has made the advancement [Take Aim]
[15:27:50] [Server thread/INFO]: [dipu2004: Summoned new Warden]
[15:27:56] [Server thread/INFO]: [dipu2004: Summoned new Warden]
[15:29:49] [Server thread/INFO]: [dipu2004: Summoned new Warden]
[15:31:17] [Server thread/INFO]: [dipu2004: Summoned new Giant]
[15:31:35] [Server thread/INFO]: [dipu2004: Summoned new Giant]
[15:31:45] [Server thread/INFO]: [dipu2004: Summoned new Giant]
[15:32:10] [Server thread/INFO]: [dipu2004: Summoned new Lightning Bolt]
[15:32:55] [Server thread/INFO]: [dipu2004: Summoned new Lightning Bolt]
[15:32:57] [Server thread/INFO]: [dipu2004: Summoned new Giant]
[15:32:58] [Server thread/INFO]: [dipu2004: Summoned new Giant]
[15:32:59] [Server thread/INFO]: [dipu2004: Summoned new Giant]
[15:33:00] [Server thread/INFO]: [dipu2004: Summoned new Giant]
[15:33:33] [Server thread/INFO]: MSGxHOAXEN lost connection: Disconnected
[15:33:33] [Server thread/INFO]: MSGxHOAXEN left the game
[15:36:35] [Server thread/INFO]: [dipu2004: Teleported Ashwathhama to dipu2004]
[15:36:43] [Server thread/INFO]: [dipu2004: Teleported Ashwathhama to dipu2004]
[15:37:08] [Server thread/INFO]: dipu2004 lost connection: Disconnected
[15:37:08] [Server thread/INFO]: dipu2004 left the game
